COMMAND,EXPLANATION,BIKOU ^
CONVERT C:/FS:NTFS,NTFS WINDOWS 2000/XPでは、ファイルシステムをFAT32からNTFSに変換することができます。WINDOWS 98/MEではファイルシステムとしてNTFSをサポートしておらず、変換作業はできません。なお、NTFSに変換後は、ハードディスクを再フォーマットしないとFAT32に戻せなくなるので注意が必要です。また、他のアプリケーションを起動していると変換作業ができないので、作業前にすべて終了しておきましょう。●NTFSの特徴 ■大容量のファイルを扱える FAT32では1ファイルに最大4GBまでしか記録できないが、NTFSでは最大2TB（テラバイト＝1000GB）まで対応 ■読み書き速度の向上 MS-DOSとの互換性を断ち切ることによって読み書き速度が向上 ■セキュリティ機能の追加 ユーザーごとにファイルへのアクセス権を設定したり、ディスク容量を制限できる HTTP://ARENA.NIKKEIBP.CO.JP/QA/TROUBLE/20030624/105098/ , ^
C:\> START D:\,DドライブGUIの表示。START で 別のウィンドウを起動して、指定したプログラムまたはコマンドを実行
 します。, ^
[ALT]+[半角/全角]キー,日本語入力,JP[ENTER]US[ENTER] ^
VER,バージョンチェック,バージョンチェック
C:\>VER
MICROSOFT WINDOWS [VERSION 6.1.7601]^
SCANDISK,ディスクの問題解決。システムツールがあるのでわざわざプロンプトからやらなくても・・・, ^
XCOPY C:\BOOK.XLS A:,Cの直下にあるBOOK.XLSをA:にコピーする。, ^
DIR,プロンプト画面ではなくDIRLIST.TXTというファイルが作られる。WINDOWSフォルダの下に作られていた（タイトルバーを右クリックしたプロパティの作業ディレクトリに作られるらしい）追加記述させる時は、DIR>>DIRLIST.TXTとする。
C:\>DIR PROG*
 ドライブ C のボリューム ラベルは ローカル ディスク です
 ボリューム シリアル番号は 2AD0-8D01 です

 C:\ のディレクトリ

2012/03/31  16:33    <DIR>          PROGRAM FILES
2012/03/25  22:53    <DIR>          PROGRAM FILES (X86)
2012/03/10  18:23    <DIR>          PROGRAMDATA
               0 個のファイル                   0 バイト
               3 個のディレクトリ  886~,866~,481~,152 バイトの空き領域, ^
コピー&ペースト,プロンプトにおいてミス無くパスをタイプするのは難しい作業。タイトルバー→右クリック→編集、を使えばコピペはできる。, ^
ALT+ENTER,ウィンドウ表示の切り替え, ^
C:\WINDOWS DIR | MORE C:\,Ｃ：以下のファイルの画面単位表示　MOREに続けてSPACEキー, ^
C:\WINDOWS\OPTIONS\CABS\SETUP.EXE,OSの上書きインストールはこれで出来るらしい。出来るけど、バックアップはしておくに越した事は無いらしい。, ^
CD　または　CHDIR,CD と打ってTabキーで順に移動ディレクトリの候補が表示される。, ^
CD..,一つ上に移動, ^
C:\>CD"MY DOCUMENTS",空白文字を含むディレクトリへの移動, ^
C:\>CD..\..,二つ上に移動, ^
CD\,ルートへ戻る, 
