command,explanation,bikou ^
convert c:/fs:ntfs,NTFS Windows 2000/XPでは、ファイルシステムをFAT32からNTFSに変換することができます。Windows 98/MeではファイルシステムとしてNTFSをサポートしておらず、変換作業はできません。なお、NTFSに変換後は、ハードディスクを再フォーマットしないとFAT32に戻せなくなるので注意が必要です。また、他のアプリケーションを起動していると変換作業ができないので、作業前にすべて終了しておきましょう。●NTFSの特徴 ■大容量のファイルを扱える FAT32では1ファイルに最大4GBまでしか記録できないが、NTFSでは最大2TB（テラバイト＝1000GB）まで対応 ■読み書き速度の向上 MS-DOSとの互換性を断ち切ることによって読み書き速度が向上 ■セキュリティ機能の追加 ユーザーごとにファイルへのアクセス権を設定したり、ディスク容量を制限できる http://arena.nikkeibp.co.jp/qa/trouble/20030624/105098/ , ^
C:\> start d:\,DドライブGUIの表示。start で 別のウィンドウを起動して、指定したプログラムまたはコマンドを実行
 します。, ^
[Alt]+[半角/全角]キー,日本語入力,JP[enter]US[ENTER] ^
ver,バージョンチェック,バージョンチェック
c:\>ver
Microsoft Windows [Version 6.1.7601]^
scandisk,ディスクの問題解決。システムツールがあるのでわざわざプロンプトからやらなくても・・・, ^
xcopy c:\book.xls a:,cの直下にあるbook.xlsをa:にコピーする。, ^
dir,プロンプト画面ではなくdirlist.txtというファイルが作られる。windowsフォルダの下に作られていた（タイトルバーを右クリックしたプロパティの作業ディレクトリに作られるらしい）追加記述させる時は、dir>>dirlist.txtとする。
c:\>dir prog*
 ドライブ C のボリューム ラベルは ローカル ディスク です
 ボリューム シリアル番号は 2AD0-8D01 です

 c:\ のディレクトリ

2012/03/31  16:33    <DIR>          Program Files
2012/03/25  22:53    <DIR>          Program Files (x86)
2012/03/10  18:23    <DIR>          ProgramData
               0 個のファイル                   0 バイト
               3 個のディレクトリ  886~,866~,481~,152 バイトの空き領域, ^
コピー&ペースト,プロンプトにおいてミス無くパスをタイプするのは難しい作業。タイトルバー→右クリック→編集、を使えばコピペはできる。, ^
alt+enter,ウィンドウ表示の切り替え, ^
c:\windows dir | more c:\,ｃ：以下のファイルの画面単位表示　moreに続けてspaceキー, ^
C:\WINDOWS\OPTIONS\CABS\setup.exe,OSの上書きインストールはこれで出来るらしい。出来るけど、バックアップはしておくに越した事は無いらしい。, ^
cd　または　chdir,"change directory。cd progra~1でディレクトリを移動できる。フォルダをクリックするのと同じ。cd フォルダ名でフォルダの中に移動できる。cd ""c:\my documents""、と入力して、dirコマンドを使うとマイドキュメントの中のフォルダが表示される。", ^
cd..,一つ上に移動, ^
C:\>cd"my documents",空白文字を含むディレクトリへの移動, ^
C:\>cd...,二つ上に移動, ^
cd\,ルートへ戻る, 
